ocel_type;ocel_type_map
Register Customer Order;RegisterCustomerOrder
Create Transport Document;CreateTransportDocument
Book Vehicles;BookVehicles
Order Empty Containers;OrderEmptyContainers
Pick Up Empty Container;PickUpEmptyContainer
Collect Goods;CollectGoods
Load Truck;LoadTruck
Send Truck Arrival Notice;SendTruckArrivalNotice
Drive to Terminal;DriveToTerminal
Unload Truck;UnloadTruck
Weigh;Weigh
Place in Stock;PlaceInStock
Pick from Stock;PickFromStock
Pick from Bay;PickFromBay
Bring to Loading Bay;BringToLoadingBay
Load to Vehicle;LoadToVehicle
Reschedule Container;RescheduleContainer
Depart;Depart
Enter Location;EnterLocation
Leave Location;LeaveLocation
